countyIndex_from countyIndex_to distance_b0 distance_b1 time_b0 time_b1
8 15 90.93 0.68 17.57 0.74
8 16 42.91 1.06 -21.54 0.98
8 17 156.77 0.43 214.03 -0.39
8 18 -16 3.16 212.82 1.01
8 19 503.98 -0.8 504.2 -1.2
8 20 333.27 0.35 491.44 0
9 1 -14.32 1.29 34.62 0.63
9 2 2.61 1.2 23.75 0.7
9 3 -12.29 1.31 -15.97 0.98
9 4 29.98 1.01 75.29 0.32
9 5 7.03 1.23 35.54 0.73
9 6 5.63 1.12 29.72 0.54
9 7 5.52 1.21 26.02 0.68
9 8 -8.58 1.72 -11.79 1.92
9 9 -0.17 1.43 8.78 1.3
9 10 3.03 1.47 8.85 1.39
9 11 1.65 1.39 17.89 0.88
9 12 0.36 1.68 19.1 1.28
9 13 -3.74 1.31 11.19 0.9
9 14 18.38 1.03 17.67 0.7
9 15 83.83 0.6 59.78 0.4
9 16 36.72 1.04 -10.68 0.93
9 17 225.84 0.15 183.65 -0.04
9 18 189.02 0.84 458.68 -1.27
9 19 445.95 -0.71 437.16 -1.04
9 20 385.81 -0.4 643.77 -1.64
10 1 308.76 -0.29 244.86 -0.37
10 2 278.78 -0.3 213.06 -0.28
10 3 183.32 0.44 131.61 0.36
10 4 230.62 -0.21 191.03 -0.32
10 5 218.53 -0.44 221.64 -0.78
10 6 167.88 -0.07 125.06 -0.05
10 7 65.67 0.89 79.08 0.42
10 8 8.02 1.47 11.63 1.49
10 9 2.77 1.48 10.34 1.37
10 10 1 1.78 12.1 1.88
10 11 4.92 1.54 25.27 1.05
10 12 54.99 1.01 96.91 0.24
10 13 -0.72 1.55 15.92 1.13
10 14 9.64 1.36 17.76 0.95
10 15 53.52 1.09 47.65 0.73
10 16 46.75 1.18 8.58 1.02
10 17 195.81 0.64 251.41 -0.28
10 18 56.7 2.02 132.39 2.25
10 19 449.28 -0.72 435.32 -0.94
10 20 251.62 0.95 463.67 0.29
11 1 49.33 0.99 7.46 0.77
11 2 57.03 0.93 -11.6 0.88
11 3 -4.94 1.27 -41.57 1.07
11 4 72.79 0.79 79.95 0.35
11 5 60.4 0.84 83.72 0.36
11 6 -6.36 1.21 -33.75 1.03
11 7 3.71 1.21 17.32 0.75
11 8 -18.28 1.63 -48.29 1.87
11 9 0.79 1.41 16.38 0.88
11 10 4.59 1.52 23.37 1.03
11 11 -1.91 1.5 8.66 1.13
11 12 0.63 1.72 11.24 1.61
11 13 -4.12 1.58 22.07 0.72
11 14 20.86 0.94 25.18 0.57
11 15 103.62 0.27 82.95 0.1
11 16 37.41 1.01 -6.86 0.94
11 17 294.26 -0.04 201.99 -0.02
11 18 410.84 -1 534.69 -1.7
11 19 474.23 -1.41 488.46 -1.85
11 20 361.69 -0.56 601.83 -1.67
12 1 614.84 -1.43 675.53 -2.11
12 2 530.14 -1.26 589.87 -1.95
12 3 176.05 0.55 173.84 0.19
12 4 354.29 -0.62 431.63 -1.43
12 5 370.12 -1.01 495.35 -2.14
12 6 344.9 -0.96 455.53 -2.05
12 7 76.06 0.82 120.07 0.17
12 8 22.22 1.32 8.63 1.28
12 9 3.24 1.64 21.16 1.23
12 10 55.64 0.98 92.8 0.29
12 11 0.08 1.74 12.07 1.62
12 12 8.8 1.53 27.62 1.58
12 13 -6.93 2.02 -1.8 2.65
12 14 4.54 1.41 8.46 1.37
12 15 59.24 0.79 21.85 0.95
12 16 48.66 1.01 22.48 0.95
12 17 515.79 -0.94 458.01 -1.12
12 18 508.62 -1.6 498.28 -1.19
12 19 413.29 -1.14 432.85 -1.57
12 20 246.12 0.61 387.59 0.71
13 1 0.31 1.22 -64.09 1.11
13 2 151.53 0.49 -87.37 1.26
13 3 -19.8 1.33 -68.61 1.2
13 4 137 0.47 168.96 -0.08
13 5 184.52 0.06 282 -0.85
13 6 13.49 1.05 -72.31 1.26
13 7 0.77 1.19 29.04 0.67
13 8 -41.26 1.75 -98.5 2.2
13 9 0.36 1.24 17.03 0.81
13 10 -1.26 1.55 6.8 1.28
13 11 -4.2 1.59 22.26 0.75
13 12 -6.42 1.97 -2.44 2.67
13 13 0.11 1.3 1.81 2.96
13 14 6.37 1.17 16.01 0.83
13 15 73.64 0.43 57.81 0.3
13 16 30.69 1 -2.94 0.97
13 17 403.53 -0.47 268.82 -0.24
13 18 627.54 -2.66 488.41 -1.16
13 19 459.8 -1.76 476.68 -2.14
13 20 426.29 -1.51 738.21 -3.3
14 1 114.12 0.79 67.87 0.52
14 2 108.29 0.77 60.93 0.54
14 3 31.59 1.1 -11.08 0.85
14 4 105.52 0.74 88.15 0.4
14 5 107.31 0.69 110.48 0.32
14 6 62.73 0.83 27.75 0.6
14 7 29.4 1.01 28.1 0.64
14 8 -1.54 1.24 -37.53 1.16
14 9 22.3 1 17.91 0.69
14 10 7.73 1.37 11.76 1
